№,名前,英語名,HP,攻撃,防御,特攻,特防,素早,合計種族値,タイプ1,タイプ2,特性1特性2(隠し特性),高さ,重さ,捕獲率,性別,経験値,初期なつき度,努力値,タマゴ,孵化,成長,雄率
255,アチャモ,Torchic,45,60,40,70,50,45,310,ほのお,,"もうか
(かそく)",0.4,2.5,45,7:1,62,70,特攻+1,陸上,5355,106万,0.875
256,ワカシャモ,Combusken,60,85,60,85,60,55,405,ほのお,かくとう,"もうか
(かそく)",0.9,19.5,45,7:1,142,70,"攻撃+1
特攻+1",陸上,5355,106万,0.875
257,バシャーモ,Blaziken,80,120,70,110,70,80,530,ほのお,かくとう,"もうか
(かそく)",1.9,52.0,45,7:1,239,70,攻撃+3,陸上,5355,106万,0.875
257-1,メガバシャーモ,Mega Blaziken,80,160,80,130,80,100,630,ほのお,かくとう,かそく,1.9,52.0,45,7:1,284,70,攻撃+3,陸上,5355,106万,0.875
258,ミズゴロウ,Mudkip,50,70,50,50,50,40,310,みず,,"げきりゅう
(しめりけ)",0.4,7.6,45,7:1,62,70,攻撃+1,"怪獣
水中1",5355,106万,0.875
259,ヌマクロー,Marshtomp,70,85,70,60,70,50,405,みず,じめん,"げきりゅう
(しめりけ)",0.7,28.0,45,7:1,142,70,攻撃+2,"怪獣
水中1",5355,106万,0.875
260,ラグラージ,Swampert,100,110,90,85,90,60,535,みず,じめん,"げきりゅう
(しめりけ)",1.5,81.9,45,7:1,241,70,攻撃+3,"怪獣
水中1",5355,106万,0.875
260-1,メガラグラージ,Mega Swampert,100,150,110,95,110,70,635,みず,じめん,すいすい,1.9,102.0,45,7:1,286,70,攻撃+3,"怪獣
水中1",5355,106万,0.875
261,ポチエナ,Poochyena,35,55,35,30,30,35,220,あく,,"にげあし
はやあし
(びびり)",0.5,13.6,255,1:1,56,70,攻撃+1,陸上,4080,100万,0.5
262,グラエナ,Mightyena,70,90,70,60,60,70,420,あく,,"いかく
はやあし
(じしんかじょう)",1.0,37.0,127,1:1,147,70,攻撃+2,陸上,4080,100万,0.5
263,ジグザグマ,Zigzagoon,38,30,41,30,41,60,240,ノーマル,,"ものひろい
くいしんぼう
(はやあし)",0.4,17.5,255,1:1,56,70,素早+1,陸上,4080,100万,0.5
264,マッスグマ,Linoone,78,70,61,50,61,100,420,ノーマル,,"ものひろい
くいしんぼう
(はやあし)",0.5,32.5,90,1:1,147,70,素早+2,陸上,4080,100万,0.5
265,ケムッソ,Wurmple,45,45,35,20,30,20,195,むし,,"りんぷん
(にげあし)",0.3,3.6,255,1:1,56,70,HP+1,虫,4080,100万,0.5
266,カラサリス,Silcoon,50,35,55,25,25,15,205,むし,,"だっぴ
(だっぴ)",0.6,10.0,120,1:1,72,70,防御+2,虫,4080,100万,0.5
267,アゲハント,Beautifly,60,70,50,100,50,65,395,むし,ひこう,"むしのしらせ
(とうそうしん)",1.0,28.4,45,1:1,178,70,特攻+3,虫,4080,100万,0.5
268,マユルド,Cascoon,50,35,55,25,25,15,205,むし,,"だっぴ
(だっぴ)",0.7,11.5,120,1:1,72,70,防御+2,虫,4080,100万,0.5
269,ドクケイル,Dustox,60,50,70,50,90,65,385,むし,どく,"りんぷん
(ふくがん)",1.2,31.6,45,1:1,173,70,特防+3,虫,4080,100万,0.5
270,ハスボー,Lotad,40,30,30,40,50,30,220,みず,くさ,"すいすい
あめうけざら
(マイペース)",0.5,2.6,255,1:1,44,70,特防+1,"水中1
植物",4080,106万,0.5
271,ハスブレロ,Lombre,60,50,50,60,70,50,340,みず,くさ,"すいすい
あめうけざら
(マイペース)",1.2,32.5,120,1:1,119,70,特防+2,"水中1
植物",4080,106万,0.5
272,ルンパッパ,Ludicolo,80,70,70,90,100,70,480,みず,くさ,"すいすい
あめうけざら
(マイペース)",1.5,55.0,45,1:1,216,70,特防+3,"水中1
植物",4080,106万,0.5
273,タネボー,Seedot,40,40,50,30,30,30,220,くさ,,"ようりょくそ
はやおき
(わるいてぐせ)",0.5,4.0,255,1:1,44,70,防御+1,"陸上
植物",4080,106万,0.5
274,コノハナ,Nuzleaf,70,70,40,60,40,60,340,くさ,あく,"ようりょくそ
はやおき
(わるいてぐせ)",1.0,28.0,120,1:1,119,70,攻撃+2,"陸上
植物",4080,106万,0.5
275,ダーテング,Shiftry,90,100,60,90,60,80,480,くさ,あく,"ようりょくそ
はやおき
(わるいてぐせ)",1.3,59.6,45,1:1,216,70,攻撃+3,"陸上
植物",4080,106万,0.5
276,スバメ,Taillow,40,55,30,30,30,85,270,ノーマル,ひこう,"こんじょう
(きもったま)",0.3,2.3,200,1:1,54,70,素早+1,飛行,4080,106万,0.5
277,オオスバメ,Swellow,60,85,60,75,50,125,455,ノーマル,ひこう,"こんじょう
(きもったま)",0.7,19.8,45,1:1,159,70,素早+2,飛行,4080,106万,0.5
278,キャモメ,Wingull,40,30,30,55,30,85,270,みず,ひこう,"するどいめ
うるおいボディ
(あめうけざら)",0.6,9.5,190,1:1,54,70,素早+1,"水中1
飛行",5355,100万,0.5
279,ペリッパー,Pelipper,60,50,100,95,70,65,440,みず,ひこう,"するどいめ
あめふらし
(あめうけざら)",1.2,28.0,45,1:1,154,70,防御+2,"水中1
飛行",5355,100万,0.5
280,ラルトス,Ralts,28,25,25,45,35,40,198,エスパー,フェアリー,"シンクロ
トレース
(テレパシー)",0.4,6.6,235,1:1,40,35,特攻+1,不定形,5355,125万,0.5
281,キルリア,Kirlia,38,35,35,65,55,50,278,エスパー,フェアリー,"シンクロ
トレース
(テレパシー)",0.8,20.2,120,1:1,97,35,特攻+2,不定形,5355,125万,0.5
282,サーナイト,Gardevoir,68,65,65,125,115,80,518,エスパー,フェアリー,"シンクロ
トレース
(テレパシー)",1.6,48.4,45,1:1,233,35,特攻+3,不定形,5355,125万,0.5
282-1,メガサーナイト,Mega Gardevoir,68,85,65,165,135,100,618,エスパー,フェアリー,フェアリースキン,1.6,48.4,45,1:1,278,35,特攻+3,不定形,5355,125万,0.5
283,アメタマ,Surskit,40,30,32,50,52,65,269,むし,みず,"すいすい
(あめうけざら)",0.5,1.7,200,1:1,54,70,素早+1,"水中1
虫",4080,100万,0.5
284,アメモース,Masquerain,70,60,62,100,82,80,454,むし,ひこう,"いかく
(きんちょうかん)",0.8,3.6,75,1:1,159,70,"特攻+1
特防+1","水中1
虫",4080,100万,0.5
285,キノココ,Shroomish,60,40,60,40,60,35,295,くさ,,"ほうし
ポイズンヒール
(はやあし)",0.4,4.5,255,1:1,59,70,HP+1,"妖精
植物",4080,164万,0.5
286,キノガッサ,Breloom,60,130,80,60,60,70,460,くさ,かくとう,"ほうし
ポイズンヒール
(テクニシャン)",1.2,39.2,90,1:1,161,70,攻撃+2,"妖精
植物",4080,164万,0.5
287,ナマケロ,Slakoth,60,60,60,35,35,30,280,ノーマル,,なまけ,0.8,24.0,255,1:1,56,70,HP+1,陸上,4080,125万,0.5
288,ヤルキモノ,Vigoroth,80,80,80,55,55,90,440,ノーマル,,やるき,1.4,46.5,120,1:1,154,70,素早+2,陸上,4080,125万,0.5
289,ケッキング,Slaking,150,160,100,95,65,100,670,ノーマル,,なまけ,2.0,130.5,45,1:1,252,70,HP+3,陸上,4080,125万,0.5
290,ツチニン,Nincada,31,45,90,30,30,40,266,むし,じめん,"ふくがん
(にげあし)",0.5,5.5,255,1:1,53,70,防御+1,虫,4080,60万,0.5
291,テッカニン,Ninjask,61,90,45,50,50,160,456,むし,ひこう,"かそく
(すりぬけ)",0.8,12.0,120,1:1,160,70,素早+2,虫,4080,60万,0.5
292,ヌケニン,Shedinja,1,90,45,30,30,40,236,むし,ゴースト,"ふしぎなまもり
(ふしぎなまもり)",0.8,1.2,45,不明,83,70,HP+2,鉱物,4080,60万,
293,ゴニョニョ,Whismur,64,51,23,51,23,28,240,ノーマル,,"ぼうおん
(びびり)",0.6,16.3,190,1:1,48,70,HP+1,"怪獣
陸上",5355,106万,0.5
294,ドゴーム,Loudred,84,71,43,71,43,48,360,ノーマル,,"ぼうおん
(きもったま)",1.0,40.5,120,1:1,126,70,HP+2,"怪獣
陸上",5355,106万,0.5
295,バクオング,Exploud,104,91,63,91,73,68,490,ノーマル,,"ぼうおん
(きもったま)",1.5,84.0,45,1:1,221,70,HP+3,"怪獣
陸上",5355,106万,0.5
296,マクノシタ,Makuhita,72,60,30,20,30,25,237,かくとう,,"あついしぼう
こんじょう
(ちからずく)",1.0,86.4,180,3:1,47,70,HP+1,人型,5355,164万,0.75
297,ハリテヤマ,Hariyama,144,120,60,40,60,50,474,かくとう,,"あついしぼう
こんじょう
(ちからずく)",2.3,253.8,200,3:1,166,70,HP+2,人型,5355,164万,0.75
298,ルリリ,Azurill,50,20,40,20,40,20,190,ノーマル,フェアリー,"あついしぼう
ちからもち
(そうしょく)",0.2,2.0,150,1:3,38,70,HP+1,未発見,2805,80万,0.25
299,ノズパス,Nosepass,30,45,135,45,90,30,375,いわ,,"がんじょう
じりょく
(すなのちから)",1.0,97.0,255,1:1,75,70,防御+1,鉱物,5355,100万,0.5
300,エネコ,Skitty,50,45,45,35,35,50,260,ノーマル,,"メロメロボディ
ノーマルスキン
(ミラクルスキン)",0.6,11.0,255,1:3,52,70,素早+1,"陸上
妖精",4080,80万,0.25
301,エネコロロ,Delcatty,70,65,65,55,55,90,400,ノーマル,,"メロメロボディ
ノーマルスキン
(ミラクルスキン)",1.1,32.6,60,1:3,140,70,"HP+1
素早+1","陸上
妖精",4080,80万,0.25
302,ヤミラミ,Sableye,50,75,75,65,65,50,380,あく,ゴースト,"するどいめ
あとだし
(いたずらごころ)",0.5,11.0,45,1:1,133,35,"攻撃+1
防御+1",人型,6630,106万,0.5
302-1,メガヤミラミ,Mega Sableye,50,85,125,85,115,20,480,あく,ゴースト,マジックミラー,0.5,161.0,45,1:1,168,35,"攻撃+1
防御+1",人型,6630,106万,0.5
303,クチート,Mawile,50,85,85,55,55,50,380,はがね,フェアリー,"かいりきバサミ
いかく
(ちからずく)",0.6,11.5,45,1:1,133,70,"攻撃+1
防御+1","陸上
妖精",5355,80万,0.5
303-1,メガクチート,Mega Mawile,50,105,125,55,95,50,480,はがね,フェアリー,ちからもち,1.0,23.5,45,1:1,168,70,"攻撃+1
防御+1","陸上
妖精",5355,80万,0.5
304,ココドラ,Aron,50,70,100,40,40,30,330,はがね,いわ,"がんじょう
いしあたま
(ヘヴィメタル)",0.4,60.0,180,1:1,66,35,防御+1,怪獣,9180,125万,0.5
305,コドラ,Lairon,60,90,140,50,50,40,430,はがね,いわ,"がんじょう
いしあたま
(ヘヴィメタル)",0.9,120.0,90,1:1,151,35,防御+2,怪獣,9180,125万,0.5
306,ボスゴドラ,Aggron,70,110,180,60,60,50,530,はがね,いわ,"がんじょう
いしあたま
(ヘヴィメタル)",2.1,360.0,45,1:1,239,35,防御+3,怪獣,9180,125万,0.5
306-1,メガボスゴドラ,Mega Aggron,70,140,230,60,80,50,630,はがね,,フィルター,2.2,395.0,45,1:1,284,35,防御+3,怪獣,9180,125万,0.5
307,アサナン,Meditite,30,40,55,40,55,60,280,かくとう,エスパー,"ヨガパワー
(テレパシー)",0.6,11.2,180,1:1,56,70,素早+1,人型,5355,100万,0.5
308,チャーレム,Medicham,60,60,75,60,75,80,410,かくとう,エスパー,"ヨガパワー
(テレパシー)",1.3,31.5,90,1:1,144,70,素早+2,人型,5355,100万,0.5
308-1,メガチャーレム,Mega Medicham,60,100,85,80,85,100,510,かくとう,エスパー,ヨガパワー,1.3,31.5,90,1:1,179,70,素早+2,人型,5355,100万,0.5
309,ラクライ,Electrike,40,45,40,65,40,65,295,でんき,,"せいでんき
ひらいしん
(マイナス)",0.6,15.2,120,1:1,59,70,素早+1,陸上,5355,125万,0.5
310,ライボルト,Manectric,70,75,60,105,60,105,475,でんき,,"せいでんき
ひらいしん
(マイナス)",1.5,40.2,45,1:1,166,70,素早+2,陸上,5355,125万,0.5
310-1,メガライボルト,Mega Manectric,70,75,80,135,80,135,575,でんき,,いかく,1.8,44.0,45,1:1,201,70,素早+2,陸上,5355,125万,0.5
311,プラスル,Plusle,60,50,40,85,75,95,405,でんき,,"プラス
(ひらいしん)",0.4,4.2,200,1:1,142,70,素早+1,妖精,5355,100万,0.5
312,マイナン,Minun,60,40,50,75,85,95,405,でんき,,"マイナス
(ちくでん)",0.4,4.2,200,1:1,142,70,素早+1,妖精,5355,100万,0.5
313,バルビート,Volbeat,65,73,75,47,85,85,430,むし,,"はっこう
むしのしらせ
(いたずらごころ)",0.7,17.7,150,♂,151,70,素早+1,"虫
人型",4080,60万,1.0
314,イルミーゼ,Illumise,65,47,75,73,85,85,430,むし,,"どんかん
いろめがね
(いたずらごころ)",0.6,17.7,150,♀,151,70,素早+1,"虫
人型",4080,164万,0.0
315,ロゼリア,Roselia,50,60,45,100,80,65,400,くさ,どく,"しぜんかいふく
どくのトゲ
(リーフガード)",0.3,2.0,150,1:1,140,70,特攻+2,"妖精
植物",5355,106万,0.5
316,ゴクリン,Gulpin,70,43,53,43,53,40,302,どく,,"ヘドロえき
ねんちゃく
(くいしんぼう)",0.4,10.3,225,1:1,60,70,HP+1,不定形,5355,164万,0.5
317,マルノーム,Swalot,100,73,83,73,83,55,467,どく,,"ヘドロえき
ねんちゃく
(くいしんぼう)",1.7,80.0,75,1:1,163,70,HP+2,不定形,5355,164万,0.5
318,キバニア,Carvanha,45,90,20,65,20,65,305,みず,あく,"さめはだ
(かそく)",0.8,20.8,225,1:1,61,35,攻撃+1,水中2,5355,125万,0.5
319,サメハダー,Sharpedo,70,120,40,95,40,95,460,みず,あく,"さめはだ
(かそく)",1.8,88.8,60,1:1,161,35,攻撃+2,水中2,5355,125万,0.5
319-1,メガサメハダー,Mega Sharpedo,70,140,70,110,65,105,560,みず,あく,がんじょうあご,2.5,130.3,60,1:1,196,35,攻撃+2,水中2,5355,125万,0.5
320,ホエルコ,Wailmer,130,70,35,70,35,60,400,みず,,"みずのベール
どんかん
(プレッシャー)",2.0,130.0,125,1:1,80,70,HP+1,"陸上
水中2",10455,164万,0.5
321,ホエルオー,Wailord,170,90,45,90,45,60,500,みず,,"みずのベール
どんかん
(プレッシャー)",14.5,398.0,60,1:1,175,70,HP+2,"陸上
水中2",10455,164万,0.5
322,ドンメル,Numel,60,60,40,65,45,35,305,ほのお,じめん,"どんかん
たんじゅん
(マイペース)",0.7,24.0,255,1:1,61,70,特攻+1,陸上,5355,100万,0.5
323,バクーダ,Camerupt,70,100,70,105,75,40,460,ほのお,じめん,"マグマのよろい
ハードロック
(いかりのつぼ)",1.9,220.0,150,1:1,161,70,"攻撃+1
特攻+1",陸上,5355,100万,0.5
323-1,メガバクーダ,Mega Camerupt,70,120,100,145,105,20,560,ほのお,じめん,ちからずく,2.5,320.5,150,1:1,196,70,"攻撃+1
特攻+1",陸上,5355,100万,0.5
324,コータス,Torkoal,70,85,140,85,70,20,470,ほのお,,"しろいけむり
ひでり
(シェルアーマー)",0.5,80.4,90,1:1,165,70,防御+2,陸上,5355,100万,0.5
325,バネブー,Spoink,60,25,35,70,80,60,330,エスパー,,"あついしぼう
マイペース
(くいしんぼう)",0.7,30.6,255,1:1,66,70,特防+1,陸上,5355,80万,0.5
326,ブーピッグ,Grumpig,80,45,65,90,110,80,470,エスパー,,"あついしぼう
マイペース
(くいしんぼう)",0.9,71.5,60,1:1,165,70,特防+2,陸上,5355,80万,0.5
327,パッチール,Spinda,60,60,60,60,60,60,360,ノーマル,,"マイペース
ちどりあし
(あまのじゃく)",1.1,5.0,255,1:1,126,70,特攻+1,"陸上
人型",4080,80万,0.5
328,ナックラー,Trapinch,45,100,45,45,45,10,290,じめん,,"かいりきバサミ
ありじごく
(ちからずく)",0.7,15.0,255,1:1,58,70,攻撃+1,虫,5355,106万,0.5
329,ビブラーバ,Vibrava,50,70,50,50,50,70,340,じめん,ドラゴン,"ふゆう
(ふゆう)",1.1,15.3,120,1:1,119,70,"攻撃+1
素早+1",虫,5355,106万,0.5
330,フライゴン,Flygon,80,100,80,80,80,100,520,じめん,ドラゴン,"ふゆう
(ふゆう)",2.0,82.0,45,1:1,234,70,"攻撃+1
素早+2",虫,5355,106万,0.5
331,サボネア,Cacnea,50,85,40,85,40,35,335,くさ,,"すながくれ
(ちょすい)",0.4,51.3,190,1:1,67,35,特攻+1,"植物
人型",5355,106万,0.5
332,ノクタス,Cacturne,70,115,60,115,60,55,475,くさ,あく,"すながくれ
(ちょすい)",1.3,77.4,60,1:1,166,35,"攻撃+1
特攻+1","植物
人型",5355,106万,0.5
333,チルット,Swablu,45,40,60,40,75,50,310,ノーマル,ひこう,"しぜんかいふく
(ノーてんき)",0.4,1.2,255,1:1,62,70,特防+1,"飛行
ドラゴン",5355,60万,0.5
334,チルタリス,Altaria,75,70,90,70,105,80,490,ドラゴン,ひこう,"しぜんかいふく
(ノーてんき)",1.1,20.6,45,1:1,172,70,特防+2,"飛行
ドラゴン",5355,60万,0.5
334-1,メガチルタリス,Mega Altaria,75,110,110,110,105,80,590,ドラゴン,フェアリー,フェアリースキン,1.5,20.6,45,1:1,207,70,特防+2,"飛行
ドラゴン",5355,60万,0.5
335,ザングース,Zangoose,73,115,60,60,60,90,458,ノーマル,,"めんえき
(どくぼうそう)",1.3,40.3,90,1:1,160,70,攻撃+2,陸上,5355,60万,0.5
336,ハブネーク,Seviper,73,100,60,100,60,65,458,どく,,"だっぴ
(すりぬけ)",2.7,52.5,90,1:1,160,70,"攻撃+1
特攻+1","陸上
ドラゴン",5355,164万,0.5
337,ルナトーン,Lunatone,90,55,65,95,85,70,460,いわ,エスパー,ふゆう,1.0,168.0,45,不明,161,70,特攻+2,鉱物,6630,80万,
338,ソルロック,Solrock,90,95,85,55,65,70,460,いわ,エスパー,ふゆう,1.2,154.0,45,不明,161,70,攻撃+2,鉱物,6630,80万,
339,ドジョッチ,Barboach,50,48,43,46,41,60,288,みず,じめん,"どんかん
きけんよち
(うるおいボディ)",0.4,1.9,190,1:1,58,70,HP+1,水中2,5355,100万,0.5
340,ナマズン,Whiscash,110,78,73,76,71,60,468,みず,じめん,"どんかん
きけんよち
(うるおいボディ)",0.9,23.6,75,1:1,164,70,HP+2,水中2,5355,100万,0.5
341,ヘイガニ,Corphish,43,80,65,50,35,35,308,みず,,"かいりきバサミ
シェルアーマー
(てきおうりょく)",0.6,11.5,205,1:1,62,70,攻撃+1,"水中1
水中3",4080,164万,0.5
342,シザリガー,Crawdaunt,63,120,85,90,55,55,468,みず,あく,"かいりきバサミ
シェルアーマー
(てきおうりょく)",1.1,32.8,155,1:1,164,70,攻撃+2,"水中1
水中3",4080,164万,0.5
343,ヤジロン,Baltoy,40,40,55,40,70,55,300,じめん,エスパー,ふゆう,0.5,21.5,255,1:1,60,70,特防+1,鉱物,5355,100万,0.5
344,ネンドール,Claydol,60,70,105,70,120,75,500,じめん,エスパー,ふゆう,1.5,108.0,90,1:1,175,70,特防+2,鉱物,5355,100万,0.5
345,リリーラ,Lileep,66,41,77,61,87,23,355,いわ,くさ,"きゅうばん
(よびみず)",1.0,23.8,45,7:1,71,70,特防+1,水中3,7905,60万,0.875
346,ユレイドル,Cradily,86,81,97,81,107,43,495,いわ,くさ,"きゅうばん
(よびみず)",1.5,60.4,45,7:1,173,70,特防+2,水中3,7905,60万,0.875
347,アノプス,Anorith,45,95,50,40,50,75,355,いわ,むし,"カブトアーマー
(すいすい)",0.7,12.5,45,7:1,71,70,攻撃+1,水中3,7905,60万,0.875
348,アーマルド,Armaldo,75,125,100,70,80,45,495,いわ,むし,"カブトアーマー
(すいすい)",1.5,68.2,45,7:1,173,70,攻撃+2,水中3,7905,60万,0.875
349,ヒンバス,Feebas,20,15,20,10,55,80,200,みず,,"すいすい
どんかん
(てきおうりょく)",0.6,7.4,255,1:1,40,70,素早+1,"水中1
ドラゴン",5355,60万,0.5
350,ミロカロス,Milotic,95,60,79,100,125,81,540,みず,,"ふしぎなうろこ
かちき
(メロメロボディ)",6.2,162.0,60,1:1,189,70,特防+2,"水中1
ドラゴン",5355,60万,0.5
351,ポワルン,Castform,70,70,70,70,70,70,420,ノーマル,,てんきや,0.3,0.8,45,1:1,147,70,HP+1,"妖精
不定形",6630,100万,0.5
352,カクレオン,Kecleon,60,90,70,60,120,40,440,ノーマル,,"へんしょく
(へんげんじざい)",1.0,22.0,200,1:1,154,70,特防+1,陸上,5355,106万,0.5
353,カゲボウズ,Shuppet,44,75,35,63,33,45,295,ゴースト,,"ふみん
おみとおし
(のろわれボディ)",0.6,2.3,225,1:1,59,35,攻撃+1,不定形,6630,80万,0.5
354,ジュペッタ,Banette,64,115,65,83,63,65,455,ゴースト,,"ふみん
おみとおし
(のろわれボディ)",1.1,12.5,45,1:1,159,35,攻撃+2,不定形,6630,80万,0.5
354-1,メガジュペッタ,Mega Banette,64,165,75,93,83,75,555,ゴースト,,いたずらごころ,1.2,13.0,45,1:1,194,35,攻撃+2,不定形,6630,80万,0.5
355,ヨマワル,Duskull,20,40,90,30,90,25,295,ゴースト,,"ふゆう
(おみとおし)",0.8,15.0,190,1:1,59,35,特防+1,不定形,6630,80万,0.5
356,サマヨール,Dusclops,40,70,130,60,130,25,455,ゴースト,,"プレッシャー
(おみとおし)",1.6,30.6,90,1:1,159,35,"防御+1
特防+1",不定形,6630,80万,0.5
357,トロピウス,Tropius,99,68,83,72,87,51,460,くさ,ひこう,"ようりょくそ
サンパワー
(しゅうかく)",2.0,100.0,200,1:1,161,70,HP+2,"怪獣
植物",6630,125万,0.5
358,チリーン,Chimecho,75,50,80,95,90,65,455,エスパー,,ふゆう,0.6,1.0,45,1:1,159,70,"特攻+1
特防+1",不定形,6630,80万,0.5
359,アブソル,Absol,65,130,60,75,60,75,465,あく,,"プレッシャー
きょううん
(せいぎのこころ)",1.2,47.0,30,1:1,163,35,攻撃+2,陸上,6630,106万,0.5
359-1,メガアブソル,Mega Absol,65,150,60,115,60,115,565,あく,,マジックミラー,1.2,49.0,30,1:1,198,35,攻撃+2,陸上,6630,106万,0.5
360,ソーナノ,Wynaut,95,23,48,23,48,23,260,エスパー,,"かげふみ
(テレパシー)",0.6,14.0,125,1:1,52,70,HP+1,未発見,5355,100万,0.5
361,ユキワラシ,Snorunt,50,50,50,50,50,50,300,こおり,,"せいしんりょく
アイスボディ
(ムラっけ)",0.7,16.8,190,1:1,60,70,HP+1,"妖精
鉱物",5355,100万,0.5
362,オニゴーリ,Glalie,80,80,80,80,80,80,480,こおり,,"せいしんりょく
アイスボディ
(ムラっけ)",1.5,256.5,75,1:1,168,70,HP+2,"妖精
鉱物",5355,100万,0.5
362-1,メガオニゴーリ,Mega Glalie,80,120,80,120,80,100,580,こおり,,フリーズスキン,2.1,350.2,75,1:1,203,70,HP+2,"妖精
鉱物",5355,100万,0.5
363,タマザラシ,Spheal,70,40,50,55,50,25,290,こおり,みず,"あついしぼう
アイスボディ
(どんかん)",0.8,39.5,255,1:1,58,70,HP+1,"水中1
陸上",5355,106万,0.5
364,トドグラー,Sealeo,90,60,70,75,70,45,410,こおり,みず,"あついしぼう
アイスボディ
(どんかん)",1.1,87.6,120,1:1,144,70,HP+2,"水中1
陸上",5355,106万,0.5
365,トドゼルガ,Walrein,110,80,90,95,90,65,530,こおり,みず,"あついしぼう
アイスボディ
(どんかん)",1.4,150.6,45,1:1,239,70,HP+3,"水中1
陸上",5355,106万,0.5
366,パールル,Clamperl,35,64,85,74,55,32,345,みず,,"シェルアーマー
(びびり)",0.4,52.5,255,1:1,69,70,防御+1,水中1,5355,60万,0.5
367,ハンテール,Huntail,55,104,105,94,75,52,485,みず,,"すいすい
(みずのベール)",1.7,27.0,60,1:1,170,70,"攻撃+1
防御+1",水中1,5355,60万,0.5
368,サクラビス,Gorebyss,55,84,105,114,75,52,485,みず,,"すいすい
(うるおいボディ)",1.8,22.6,60,1:1,170,70,特攻+2,水中1,5355,60万,0.5
369,ジーランス,Relicanth,100,90,130,45,65,55,485,みず,いわ,"すいすい
いしあたま
(がんじょう)",1.0,23.4,25,7:1,170,70,"HP+1
防御+1","水中1
水中2",10455,125万,0.875
370,ラブカス,Luvdisc,43,30,55,40,65,97,330,みず,,"すいすい
(うるおいボディ)",0.6,8.7,225,1:3,116,70,素早+1,水中2,5355,80万,0.25
371,タツベイ,Bagon,45,75,60,40,30,50,300,ドラゴン,,"いしあたま
(ちからずく)",0.6,42.1,45,1:1,60,35,攻撃+1,ドラゴン,10455,125万,0.5
372,コモルー,Shelgon,65,95,100,60,50,50,420,ドラゴン,,"いしあたま
(ぼうじん)",1.1,110.5,45,1:1,147,35,防御+2,ドラゴン,10455,125万,0.5
373,ボーマンダ,Salamence,95,135,80,110,80,100,600,ドラゴン,ひこう,"いかく
(じしんかじょう)",1.5,102.6,45,1:1,270,35,攻撃+3,ドラゴン,10455,125万,0.5
373-1,メガボーマンダ,Mega Salamence,95,145,130,120,90,120,700,ドラゴン,ひこう,スカイスキン,1.8,112.6,45,1:1,315,35,攻撃+3,ドラゴン,10455,125万,0.5
374,ダンバル,Beldum,40,55,80,35,60,30,300,はがね,エスパー,"クリアボディ
(ライトメタル)",0.6,95.2,3,不明,60,35,防御+1,鉱物,10455,125万,
375,メタング,Metang,60,75,100,55,80,50,420,はがね,エスパー,"クリアボディ
(ライトメタル)",1.2,202.5,3,不明,147,35,防御+2,鉱物,10455,125万,
376,メタグロス,Metagross,80,135,130,95,90,70,600,はがね,エスパー,"クリアボディ
(ライトメタル)",1.6,550.0,3,不明,270,35,防御+3,鉱物,10455,125万,
376-1,メガメタグロス,Mega Metagross,80,145,150,105,110,110,700,はがね,エスパー,かたいツメ,2.5,942.9,3,不明,315,35,防御+3,鉱物,10455,125万,
377,レジロック,Regirock,80,100,200,50,100,50,580,いわ,,"クリアボディ
(がんじょう)",1.7,230.0,3,不明,261,35,防御+3,未発見,20655,125万,
378,レジアイス,Regice,80,50,100,100,200,50,580,こおり,,"クリアボディ
(アイスボディ)",1.8,175.0,3,不明,261,35,特防+3,未発見,20655,125万,
379,レジスチル,Registeel,80,75,150,75,150,50,580,はがね,,"クリアボディ
(ライトメタル)",1.9,205.0,3,不明,261,35,"防御+2
特防+1",未発見,20655,125万,
380,ラティアス,Latias,80,80,90,110,130,110,600,ドラゴン,エスパー,ふゆう,1.4,40.0,3,♀,270,90,特防+3,未発見,30855,125万,0.0
380-1,メガラティアス,Mega Latias,80,100,120,140,150,110,700,ドラゴン,エスパー,ふゆう,1.8,52.0,3,♀,315,90,特防+3,未発見,30855,125万,0.0
381,ラティオス,Latios,80,90,80,130,110,110,600,ドラゴン,エスパー,ふゆう,2.0,60.0,3,♂,270,90,特攻+3,未発見,30855,125万,1.0
381-1,メガラティオス,Mega Latios,80,130,100,160,120,110,700,ドラゴン,エスパー,ふゆう,2.3,70.0,3,♂,315,90,特攻+3,未発見,30855,125万,1.0
382,カイオーガ,Kyogre,100,100,90,150,140,90,670,みず,,あめふらし,4.5,352.0,5,不明,302,0,特攻+3,未発見,30855,125万,
382-1,ゲンシカイオーガ,Primal Kyogre,100,150,90,180,160,90,770,みず,,はじまりのうみ,9.8,430.0,5,不明,347,0,特攻+3,未発見,30855,125万,
383,グラードン,Groudon,100,150,140,100,90,90,670,じめん,,ひでり,3.5,950.0,5,不明,302,0,攻撃+3,未発見,30855,125万,
383-1,ゲンシグラードン,Primal Groudon,100,180,160,150,90,90,770,じめん,ほのお,おわりのだいち,5.0,999.7,5,不明,347,0,攻撃+3,未発見,30855,125万,
384,レックウザ,Rayquaza,105,150,90,150,90,95,680,ドラゴン,ひこう,エアロック,7.0,206.5,3,不明,306,0,"攻撃+2
特攻+1",未発見,30855,125万,
